Date,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1,ACVOL_UNS
2021-05-31,1328.05,1326.65,1328.05,1307.56,737175000
2021-06-01,1337.78,1329.47,1346.34,1328.84,629421000
2021-06-02,1340.78,1337.78,1344.98,1330.82,805242000
2021-06-03,1364.28,1345.21,1366.0,1345.21,898882000
2021-06-04,1374.05,1367.06,1374.05,1360.42,943329000
2021-06-07,1358.78,1374.59,1375.74,1347.21,876693000
2021-06-08,1319.88,1355.36,1364.48,1318.11,924506000
2021-06-09,1332.9,1323.52,1339.14,1312.08,822293000
2021-06-10,1323.58,1332.9,1336.71,1317.49,723488000
2021-06-11,1351.74,1326.79,1352.47,1322.08,731262000
2021-06-14,1361.72,1352.73,1368.53,1352.73,775725000
2021-06-15,1367.36,1361.58,1372.72,1356.59,730942000
2021-06-16,1356.52,1363.85,1370.14,1350.73,769634000
2021-06-17,1359.92,1341.06,1364.55,1337.49,768730000
2021-06-18,1377.77,1366.19,1377.77,1363.52,809466000
2021-06-21,1372.63,1373.59,1381.74,1367.85,768183000
2021-06-22,1379.97,1380.84,1385.98,1375.0,746948000
2021-06-23,1376.87,1383.15,1388.33,1372.06,710771000
2021-06-24,1379.72,1376.87,1384.71,1372.99,591749000
2021-06-25,1390.12,1382.11,1390.12,1372.8,598106000
2021-06-28,1405.81,1397.96,1406.02,1390.56,699512000
2021-06-29,1410.04,1408.34,1416.34,1406.87,647389000
2021-06-30,1408.55,1410.83,1419.61,1408.18,595286000
2021-07-01,1417.08,1412.15,1417.27,1402.18,753564000
2021-07-02,1420.27,1422.89,1424.28,1415.82,706827000
2021-07-05,1411.13,1420.27,1421.52,1394.12,774452000
2021-07-06,1354.79,1411.13,1418.99,1354.79,773512600
2021-07-07,1388.55,1354.79,1388.55,1334.58,733801300
2021-07-08,1374.68,1388.55,1388.55,1363.92,528832600
2021-07-09,1347.14,1374.68,1374.68,1335.9,713991100
2021-07-12,1296.3,1347.14,1347.14,1270.06,912737200
2021-07-13,1297.54,1296.3,1307.73,1278.3,500178900
2021-07-14,1279.91,1297.54,1305.37,1264.68,547973900
2021-07-15,1293.92,1279.91,1299.18,1270.77,419138600
2021-07-16,1299.31,1293.92,1304.37,1293.92,415121000
2021-07-19,1243.51,1299.31,1299.31,1237.79,731023000
2021-07-20,1273.29,1243.51,1273.29,1225.52,568602000
2021-07-21,1270.79,1273.29,1284.33,1266.71,451952000
2021-07-22,1293.67,1270.79,1294.16,1266.54,536412000
2021-07-23,1268.83,1293.67,1295.63,1268.83,582254000
2021-07-26,1272.71,1268.83,1277.33,1254.57,508547000
2021-07-27,1276.93,1272.71,1288.35,1272.71,566746000
2021-07-28,1277.07,1276.93,1281.17,1271.78,406887000
2021-07-29,1293.6,1277.07,1293.6,1277.07,491061000
2021-07-30,1310.05,1293.6,1311.97,1293.6,644438000
2021-08-02,1314.22,1310.05,1322.35,1304.49,614534000
2021-08-03,1332.44,1314.22,1332.44,1314.22,647013000
2021-08-04,1334.74,1332.44,1340.76,1328.4,661800000
2021-08-05,1345.55,1334.74,1346.62,1326.8,635468000
2021-08-06,1341.45,1345.55,1351.85,1341.45,736161000
2021-08-09,1359.86,1341.45,1361.12,1334.69,688433000
2021-08-10,1362.43,1359.86,1370.35,1358.12,716535000
2021-08-11,1357.79,1362.43,1374.03,1357.79,806773000
2021-08-12,1353.05,1357.79,1365.01,1353.05,741564000
2021-08-13,1357.05,1353.05,1357.41,1336.74,744147000
2021-08-16,1370.96,1357.05,1372.33,1357.05,827714000
2021-08-17,1363.09,1370.96,1379.7,1359.11,768611000
