Date,TRDPRC_1,OPEN_PRC,HIGH_1,LOW_1,ACVOL_UNS
2016-01-11,557.87,559.05,563.04,557.51,100564840
2016-01-12,564.26,557.36,564.26,557.36,101936980
2016-01-13,560.37,565.21,566.02,560.37,116482120
2016-01-14,553.03,555.88,556.62,550.6,128698360
2016-01-15,543.04,554.35,556.55,543.04,119036170
2016-01-18,526.37,532.54,532.54,518.16,155232200
2016-01-19,535.77,525.65,535.77,525.65,113134420
2016-01-20,529.44,532.81,536.57,529.42,110084630
2016-01-21,521.88,526.37,531.21,520.74,139640150
2016-01-22,522.24,525.35,525.83,513.82,159197830
2016-01-25,542.35,522.24,542.36,522.24,141544590
2016-01-26,537.73,534.06,542.98,531.27,129406630
2016-01-27,542.69,541.18,543.88,540.03,113837250
2016-01-28,539.47,542.01,544.73,538.59,107972910
2016-01-29,545.25,539.96,545.71,537.51,98772890
2016-02-01,540.56,545.27,548.58,540.56,91516390
2016-02-02,536.45,540.56,542.24,535.38,81857900
2016-02-03,539.07,531.11,539.07,530.23,72488010
2016-02-04,542.15,542.91,545.17,541.66,58991600
2016-02-05,544.75,540.64,545.54,540.64,58916530
2016-02-15,543.79,540.13,544.59,537.81,63716290
2016-02-16,548.05,545.72,548.89,545.72,101448930
2016-02-17,547.05,551.38,552.38,547.05,108235660
2016-02-18,552.49,550.51,555.05,549.16,105390240
2016-02-19,554.03,552.37,555.16,551.38,176932600
2016-02-22,560.71,555.31,561.44,555.31,146133920
2016-02-23,561.28,564.75,567.58,561.09,151169460
2016-02-24,568.04,559.48,569.7,557.77,150465740
2016-02-25,562.82,571.15,573.63,562.82,128761360
2016-02-26,566.11,565.61,566.8,562.39,96285500
2016-02-29,559.37,565.61,566.3,559.4,96285500
2016-03-01,561.56,561.54,565.65,560.59,115276230
2016-03-02,570.18,564.85,570.18,562.97,140295650
2016-03-03,570.39,573.06,573.88,569.39,121565340
2016-03-04,573.65,570.2,576.0,568.8,121565340
2016-03-07,576.2,575.76,580.95,575.39,154505980
2016-03-08,574.71,576.75,579.87,574.53,141443700
2016-03-09,571.71,573.47,576.32,571.48,118988380
2016-03-10,575.91,574.07,575.91,571.52,118002950
2016-03-11,577.26,576.12,580.93,574.81,134136630
2016-03-14,577.98,578.08,579.66,576.26,122214350
2016-03-15,574.04,576.78,578.96,572.59,138716120
2016-03-16,577.07,573.88,577.96,573.37,138524560
2016-03-17,579.26,581.55,583.53,579.26,138979600
2016-03-18,575.82,579.95,580.81,575.44,174491080
2016-03-21,572.27,577.65,580.83,572.27,143177260
2016-03-22,570.91,572.7,573.8,567.8,122911350
2016-03-23,574.71,570.74,575.22,570.39,130484450
2016-03-24,570.66,573.93,577.21,570.66,140020360
2016-03-25,572.08,569.48,572.48,564.88,132180850
2016-03-28,575.72,573.69,576.0,571.58,110859230
2016-03-29,568.28,575.63,576.07,568.28,132852470
2016-03-30,569.91,566.08,571.43,565.55,122484050
2016-03-31,561.22,569.04,570.94,561.22,145625020
2016-04-01,558.43,560.64,562.73,557.96,116291560
2016-04-04,555.82,557.56,560.92,554.3,108880000
2016-04-05,560.32,555.98,560.32,555.15,112087100
2016-04-06,567.79,561.94,567.79,560.63,99562200
2016-04-07,571.6,570.72,572.56,567.01,117899300
2016-04-08,572.34,571.21,574.46,569.09,111597810
2016-04-11,579.27,575.11,581.88,575.01,129674560
2016-04-12,579.84,580.9,582.97,577.17,138444120
2016-04-13,578.02,580.77,582.81,575.65,130634250
2016-04-14,579.49,575.69,584.81,575.69,116830600
2016-04-15,579.86,581.54,586.36,579.86,115434600
2016-04-19,568.28,578.32,578.44,568.28,125545070
2016-04-20,568.03,569.8,571.71,565.3,108722460
2016-04-21,575.73,571.19,577.41,570.71,100005660
2016-04-22,592.48,574.57,592.48,574.57,129717340
2016-04-25,591.58,597.91,601.61,591.58,130331660
2016-04-26,598.48,590.99,598.48,590.19,132638550
2016-04-27,593.96,601.79,601.79,591.35,134186560
2016-04-28,591.67,594.98,597.28,589.97,94003230
2016-04-29,598.37,591.2,599.71,591.2,110322990
2016-05-04,599.07,595.95,603.08,592.43,131949650
2016-05-05,601.51,600.66,605.21,600.5,120477350
2016-05-06,606.52,602.4,608.94,602.17,113045550
2016-05-09,603.85,610.92,612.97,603.85,105330980
2016-05-10,605.05,600.35,605.46,597.74,107970160
2016-05-11,614.06,606.6,614.06,606.06,104828050
2016-05-12,612.12,615.55,617.56,612.12,86561510
2016-05-13,610.82,612.32,615.3,608.04,105664260
2016-05-16,615.78,610.13,616.17,608.49,90053950
2016-05-17,624.75,620.54,626.12,618.67,116003280
2016-05-18,622.45,625.53,627.81,621.79,113469020
2016-05-19,619.2,622.45,623.68,618.13,114111200
2016-05-20,614.81,620.72,622.48,614.41,89160520
2016-05-23,611.03,616.11,616.83,610.45,76074600
2016-05-24,611.62,612.23,613.14,608.15,95492370
2016-05-25,611.89,613.96,616.38,611.89,95084720
2016-05-26,604.34,611.88,613.37,604.34,94423070
2016-05-27,608.11,604.36,609.94,603.23,89454250
2016-05-30,614.5,609.98,615.52,608.46,101592790
2016-05-31,618.44,616.22,621.14,614.68,107978420
2016-06-01,619.86,618.18,620.24,616.33,99652390
2016-06-02,623.37,619.19,624.52,618.38,121873950
2016-06-03,621.88,623.21,625.19,621.62,118639060
2016-06-06,620.05,621.09,624.55,616.98,118156660
2016-06-07,624.65,622.4,624.69,620.05,112253160
2016-06-08,627.87,626.84,632.68,626.29,126073730
2016-06-09,631.26,628.4,631.26,626.27,116376380
2016-06-10,629.84,629.95,633.47,628.56,128988300
2016-06-13,623.58,626.26,627.36,621.4,116109850
2016-06-14,625.43,621.63,626.4,619.13,91857820
2016-06-15,627.02,624.63,628.75,621.76,103691960
2016-06-16,625.11,627.38,630.21,625.11,116946050
2016-06-17,619.25,622.92,624.59,618.16,143669220
2016-06-20,626.46,622.04,626.46,620.41,94712000
2016-06-21,628.0,629.03,631.96,628.0,108155080
2016-06-22,626.41,628.77,629.95,625.81,93762050
2016-06-23,632.27,626.47,632.6,626.47,105505080
2016-06-24,620.77,631.77,631.77,597.68,262210430
2016-06-27,621.27,616.19,621.27,608.26,101865150
2016-06-28,622.2,617.68,624.85,617.65,76760440
2016-06-29,630.12,623.56,631.25,623.56,113362110
2016-06-30,632.26,633.17,637.46,631.74,99042580
2016-07-01,640.3,634.54,643.55,634.28,106711160
2016-07-04,647.96,643.11,647.96,641.96,124752900
2016-07-05,650.88,650.47,658.45,647.52,140423840
2016-07-06,649.46,646.8,652.36,644.07,117965440
2016-07-07,661.12,652.49,661.12,652.13,130188390
2016-07-08,658.68,661.07,665.53,655.91,131939490
2016-07-11,652.26,658.92,664.89,648.77,146647990
2016-07-12,658.9,652.81,658.9,650.04,149112960
2016-07-13,675.12,662.04,676.06,662.04,138393530
2016-07-14,666.69,675.66,681.75,666.69,152057570
2016-07-15,664.56,668.29,670.18,661.47,116464580
2016-07-18,673.5,664.12,673.5,662.25,122748180
2016-07-19,667.76,675.89,677.35,660.09,131066870
2016-07-20,660.26,667.86,667.86,660.26,124236080
2016-07-21,659.57,662.72,665.9,656.03,104596580
2016-07-22,649.87,657.15,658.06,640.26,140165040
2016-07-25,649.3,651.33,654.17,646.04,86417860
2016-07-26,648.59,648.58,651.93,642.91,97294620
2016-07-27,656.11,647.98,656.11,647.74,111642190
2016-07-28,657.14,655.81,657.2,649.86,115779900
2016-07-29,652.23,654.19,657.88,650.98,112283210
2016-08-01,648.38,655.38,655.38,646.02,89743110
2016-08-02,636.05,643.2,643.2,633.33,136282920
2016-08-03,631.61,632.98,634.75,627.66,87450230
2016-08-04,631.94,633.74,641.02,631.94,103788870
2016-08-05,627.39,629.69,630.18,622.49,118506920
2016-08-08,629.46,627.23,629.91,622.14,84087430
2016-08-09,637.34,629.66,637.34,629.66,87157080
2016-08-10,648.33,637.21,648.48,637.21,107877050
2016-08-11,660.24,649.27,660.24,648.31,134689840
2016-08-12,655.71,665.14,668.52,652.67,117895770
2016-08-15,659.47,654.06,659.47,653.64,114385770
2016-08-16,658.11,659.97,662.13,656.83,128458310
2016-08-17,660.51,659.46,660.76,657.06,113029210
2016-08-18,660.65,663.56,665.94,656.35,120173290
2016-08-19,662.28,664.09,666.93,659.64,101626960
2016-08-22,657.68,662.87,664.95,657.68,109773170
2016-08-23,659.16,653.58,659.16,652.88,90297080
2016-08-24,660.77,660.95,665.43,659.16,98316870
2016-08-25,658.5,659.57,660.48,656.49,106728730
2016-08-26,667.75,662.9,668.84,662.9,109776940
2016-08-29,669.44,670.71,679.62,669.44,108619910
2016-08-30,672.67,667.96,672.67,666.33,87433660
2016-08-31,674.63,673.1,676.26,671.39,93688890
2016-09-01,669.19,674.19,674.72,664.77,93925040
2016-09-05,664.55,669.3,670.08,660.31,103194860
2016-09-06,663.9,666.38,668.4,663.9,87906500
2016-09-07,661.28,663.05,663.68,657.07,88002530
2016-09-08,666.07,661.89,668.2,660.54,112627640
2016-09-09,666.88,669.24,672.39,666.88,95460760
2016-09-12,659.76,665.77,666.04,655.55,88572250
2016-09-13,659.72,658.61,661.74,654.95,81226280
2016-09-14,656.64,658.16,661.82,656.64,92963280
2016-09-15,656.18,657.46,660.32,654.84,105142830
2016-09-16,651.31,654.68,657.53,651.31,184317130
2016-09-19,657.89,656.68,658.35,653.97,104348350
2016-09-20,663.37,656.2,663.37,653.28,100490650
2016-09-21,668.48,663.12,668.83,662.79,134925820
2016-09-22,671.38,671.41,675.36,671.14,112592880
